State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Amenities_Count,Floor_Ratio,Good_Investment
Bihar,Gaya,Locality_3,Apartment,2,1362,418.29,0.31,2008,Unfurnished,25,27,18,1,4,2,0,1,"Garden, Pool",South,Builder,Ready_to_Move,2,0.9259259259259259,0
Madhya Pradesh,Bhopal,Locality_203,Independent House,2,1824,462.99,0.25,1992,Furnished,5,13,34,8,1,1,0,1,Clubhouse,East,Broker,Under_Construction,1,0.38461538461538464,0
West Bengal,Kolkata,Locality_230,Villa,5,1421,363.65,0.26,1995,Semi-furnished,19,29,31,10,2,1,0,1,"Pool, Gym, Playground, Clubhouse, Garden",North,Broker,Under_Construction,5,0.6551724137931034,0
Punjab,Ludhiana,Locality_132,Villa,4,1639,443.55,0.27,2001,Semi-furnished,20,28,25,3,6,3,0,0,Pool,North,Owner,Under_Construction,1,0.7142857142857143,0
Uttarakhand,Haridwar,Locality_175,Independent House,2,3221,485.35,0.15,2011,Unfurnished,8,21,15,6,6,3,0,0,"Playground, Pool, Clubhouse, Garden",South,Owner,Under_Construction,4,0.38095238095238093,0
Kerala,Trivandrum,Locality_394,Apartment,2,2046,163.35,0.08,2010,Unfurnished,16,19,16,1,8,2,0,1,"Playground, Gym, Garden, Pool, Clubhouse",West,Broker,Under_Construction,5,0.8421052631578947,1
Haryana,Gurgaon,Locality_135,Apartment,5,1112,129.03,0.12,1992,Unfurnished,7,22,34,5,3,2,0,1,Pool,North,Builder,Ready_to_Move,1,0.3181818181818182,0
Karnataka,Mangalore,Locality_165,Independent House,1,3289,491.77,0.15,2021,Furnished,17,27,5,6,2,3,0,1,"Garden, Playground, Clubhouse",South,Broker,Ready_to_Move,3,0.6296296296296297,0
Delhi,Dwarka,Locality_12,Independent House,5,4720,111.71,0.02,2001,Unfurnished,15,15,25,10,7,2,1,1,"Gym, Garden, Clubhouse, Pool",East,Builder,Ready_to_Move,4,1.0,1
Madhya Pradesh,Indore,Locality_439,Independent House,3,4162,350.34,0.08,1996,Unfurnished,6,15,30,1,10,3,0,0,"Playground, Garden, Clubhouse, Gym",West,Owner,Ready_to_Move,4,0.4,1
Gujarat,Surat,Locality_1,Villa,4,1432,59.49,0.04,1997,Furnished,7,13,29,3,8,1,1,1,"Garden, Gym",East,Owner,Ready_to_Move,2,0.5384615384615384,0
Maharashtra,Mumbai,Locality_200,Independent House,1,2816,176.22,0.06,1996,Furnished,12,26,30,3,5,1,0,0,"Gym, Clubhouse, Garden, Playground, Pool",West,Broker,Ready_to_Move,5,0.46153846153846156,0
Bihar,Patna,Locality_192,Apartment,4,3330,83.75,0.03,1997,Furnished,3,16,29,5,10,1,1,0,Playground,East,Builder,Under_Construction,1,0.1875,0
Gujarat,Surat,Locality_337,Independent House,3,1066,14.66,0.01,1997,Furnished,19,22,29,6,10,1,0,1,"Clubhouse, Garden, Pool, Playground",North,Broker,Ready_to_Move,4,0.8636363636363636,0
Andhra Pradesh,Vishakhapatnam,Locality_216,Independent House,4,3520,463.87,0.13,2015,Semi-furnished,25,27,11,1,1,2,0,1,"Clubhouse, Playground",South,Owner,Under_Construction,2,0.9259259259259259,0
Assam,Silchar,Locality_42,Apartment,4,4581,67.98,0.01,2000,Unfurnished,6,24,26,2,9,1,0,1,"Garden, Playground, Gym, Pool",East,Owner,Under_Construction,4,0.25,0
Maharashtra,Nagpur,Locality_166,Apartment,3,4932,388.89,0.08,2011,Semi-furnished,15,24,15,7,10,1,0,0,"Garden, Gym",East,Broker,Under_Construction,2,0.625,0
Chhattisgarh,Raipur,Locality_182,Independent House,2,2236,370.39,0.17,2022,Semi-furnished,0,3,4,4,4,3,0,1,"Garden, Gym",East,Owner,Ready_to_Move,2,0.0,0
Maharashtra,Nagpur,Locality_467,Independent House,2,3426,348.23,0.1,1993,Unfurnished,9,19,33,10,8,2,1,0,"Gym, Clubhouse, Playground",South,Broker,Ready_to_Move,3,0.47368421052631576,0
Madhya Pradesh,Bhopal,Locality_341,Independent House,3,4798,93.92,0.02,1995,Unfurnished,6,13,31,10,7,1,1,1,"Gym, Pool",North,Owner,Under_Construction,2,0.46153846153846156,0
Karnataka,Bangalore,Locality_278,Apartment,3,4395,156.45,0.04,2023,Unfurnished,2,12,3,6,4,2,0,0,"Garden, Playground, Clubhouse",East,Broker,Under_Construction,3,0.16666666666666666,1
Chhattisgarh,Bilaspur,Locality_48,Apartment,2,4509,480.39,0.11,2013,Furnished,22,25,13,6,7,2,0,1,Playground,West,Broker,Under_Construction,1,0.88,0
Uttarakhand,Dehradun,Locality_21,Villa,1,4563,457.0,0.1,2017,Furnished,2,29,9,3,10,3,0,1,"Gym, Garden, Clubhouse",North,Owner,Ready_to_Move,3,0.06896551724137931,0
Odisha,Cuttack,Locality_155,Apartment,3,4420,162.09,0.04,1998,Semi-furnished,9,12,28,5,4,1,1,0,"Pool, Clubhouse, Gym, Garden, Playground",South,Broker,Ready_to_Move,5,0.75,0
Jharkhand,Jamshedpur,Locality_13,Apartment,5,4918,176.8,0.04,2008,Semi-furnished,3,3,18,9,3,3,0,0,"Playground, Clubhouse, Garden",North,Owner,Ready_to_Move,3,1.0,1
Madhya Pradesh,Bhopal,Locality_3,Independent House,3,1907,385.33,0.2,1990,Furnished,3,22,36,3,3,3,1,1,"Gym, Playground, Pool, Clubhouse, Garden",West,Broker,Under_Construction,5,0.13636363636363635,0
Uttar Pradesh,Noida,Locality_350,Villa,2,1768,154.78,0.09,1997,Furnished,3,30,29,8,5,2,0,0,"Clubhouse, Pool, Garden, Gym",East,Broker,Under_Construction,4,0.1,0
West Bengal,Durgapur,Locality_458,Independent House,1,1617,423.16,0.26,2015,Semi-furnished,0,15,11,7,2,2,1,0,"Pool, Gym",East,Owner,Under_Construction,2,0.0,0
Assam,Silchar,Locality_328,Villa,3,2619,397.87,0.15,2021,Semi-furnished,0,29,5,7,4,2,0,1,"Clubhouse, Gym, Pool",North,Owner,Under_Construction,3,0.0,0
Bihar,Patna,Locality_395,Independent House,4,2803,331.91,0.12,2013,Furnished,2,16,13,1,5,3,0,1,"Pool, Playground, Gym, Garden",East,Broker,Under_Construction,4,0.125,0
Andhra Pradesh,Vijayawada,Locality_334,Independent House,4,4176,285.8,0.07,2004,Semi-furnished,9,16,22,8,2,2,0,0,"Gym, Playground, Clubhouse, Pool, Garden",East,Owner,Ready_to_Move,5,0.5625,1
Jharkhand,Jamshedpur,Locality_125,Apartment,1,4890,58.96,0.01,2004,Semi-furnished,1,6,22,8,4,3,0,1,Gym,North,Broker,Ready_to_Move,1,0.16666666666666666,0
Odisha,Bhubaneswar,Locality_70,Independent House,5,1855,26.65,0.01,2023,Unfurnished,11,29,3,7,4,1,0,1,"Gym, Pool, Playground, Clubhouse, Garden",North,Builder,Ready_to_Move,5,0.3793103448275862,0
Andhra Pradesh,Vijayawada,Locality_127,Villa,4,3623,224.25,0.06,1997,Unfurnished,21,22,29,5,7,1,1,1,"Gym, Pool, Playground",East,Owner,Under_Construction,3,0.9545454545454546,0
Bihar,Patna,Locality_348,Villa,1,4714,487.32,0.1,2001,Semi-furnished,9,15,25,6,6,3,0,0,"Garden, Clubhouse",South,Broker,Ready_to_Move,2,0.6,0
Madhya Pradesh,Bhopal,Locality_303,Apartment,1,4198,452.52,0.11,1990,Furnished,18,27,36,5,4,3,0,0,"Garden, Playground, Pool",East,Builder,Ready_to_Move,3,0.6666666666666666,0
Assam,Guwahati,Locality_475,Apartment,3,4692,13.3,0.0,2000,Semi-furnished,9,13,26,2,5,1,0,1,"Clubhouse, Playground, Pool",East,Owner,Ready_to_Move,3,0.6923076923076923,0
Gujarat,Surat,Locality_200,Villa,4,2904,460.07,0.16,1990,Semi-furnished,0,3,36,3,7,1,0,1,"Clubhouse, Gym, Garden",East,Owner,Ready_to_Move,3,0.0,0
Uttarakhand,Haridwar,Locality_403,Villa,3,4967,128.21,0.03,1992,Unfurnished,22,30,34,4,7,2,0,1,"Gym, Clubhouse, Playground, Garden",West,Owner,Under_Construction,4,0.7333333333333333,1
Telangana,Hyderabad,Locality_164,Apartment,1,3460,360.15,0.1,2020,Semi-furnished,23,26,6,9,4,2,1,1,"Playground, Clubhouse, Gym",West,Broker,Ready_to_Move,3,0.8846153846153846,0
Madhya Pradesh,Indore,Locality_155,Apartment,3,2196,41.94,0.02,2011,Semi-furnished,2,9,15,5,5,1,1,1,"Clubhouse, Gym, Playground, Pool, Garden",West,Builder,Under_Construction,5,0.2222222222222222,0
Madhya Pradesh,Bhopal,Locality_37,Independent House,5,3408,234.22,0.07,2015,Unfurnished,17,23,11,7,10,3,0,0,"Garden, Playground, Pool, Clubhouse, Gym",South,Broker,Ready_to_Move,5,0.7391304347826086,1
Haryana,Gurgaon,Locality_495,Independent House,2,1885,111.93,0.06,2009,Furnished,9,14,17,8,4,2,1,1,"Playground, Garden, Gym",East,Broker,Ready_to_Move,3,0.6428571428571429,1
Karnataka,Mangalore,Locality_404,Apartment,3,1642,497.96,0.3,2001,Unfurnished,13,22,25,3,5,1,1,1,"Playground, Garden, Gym, Clubhouse, Pool",West,Builder,Ready_to_Move,5,0.5909090909090909,0
Jharkhand,Jamshedpur,Locality_260,Apartment,4,4730,286.12,0.06,1998,Furnished,19,23,28,4,10,3,1,1,"Playground, Garden, Clubhouse",West,Owner,Under_Construction,3,0.8260869565217391,1
Uttar Pradesh,Lucknow,Locality_314,Independent House,3,4566,185.36,0.04,2017,Furnished,2,30,9,10,7,1,0,0,"Gym, Garden, Clubhouse, Pool",East,Builder,Ready_to_Move,4,0.06666666666666667,0
Jharkhand,Ranchi,Locality_420,Villa,2,2584,10.76,0.0,1998,Semi-furnished,8,20,28,2,1,2,0,0,"Gym, Clubhouse, Pool, Garden",East,Owner,Under_Construction,4,0.4,1
Kerala,Kochi,Locality_410,Independent House,4,3988,466.92,0.12,2015,Unfurnished,19,27,11,4,2,2,0,1,"Playground, Gym, Clubhouse, Garden, Pool",East,Owner,Under_Construction,5,0.7037037037037037,0
Odisha,Bhubaneswar,Locality_14,Villa,4,3944,123.11,0.03,2005,Semi-furnished,0,9,21,6,8,2,1,0,"Playground, Gym, Garden, Pool",South,Broker,Under_Construction,4,0.0,1
Odisha,Cuttack,Locality_80,Apartment,3,4118,275.0,0.07,1999,Semi-furnished,3,20,27,9,1,1,1,1,"Pool, Garden, Clubhouse, Gym",West,Owner,Under_Construction,4,0.15,0
Rajasthan,Jaipur,Locality_377,Apartment,1,4874,200.97,0.04,2019,Furnished,0,6,7,5,9,3,0,1,"Playground, Clubhouse, Pool, Gym",South,Builder,Ready_to_Move,4,0.0,1
Punjab,Amritsar,Locality_222,Independent House,3,1169,263.22,0.23,2012,Furnished,24,27,14,9,5,3,0,1,"Clubhouse, Garden, Gym, Pool",North,Builder,Ready_to_Move,4,0.8888888888888888,0
Delhi,Dwarka,Locality_123,Independent House,2,2663,156.72,0.06,2006,Furnished,6,6,20,9,3,1,1,1,"Pool, Garden, Gym, Playground",East,Builder,Under_Construction,4,1.0,0
Tamil Nadu,Coimbatore,Locality_356,Villa,2,3454,499.51,0.14,2006,Unfurnished,17,24,20,10,8,1,0,1,"Playground, Clubhouse, Gym, Pool, Garden",South,Owner,Under_Construction,5,0.7083333333333334,0
Uttarakhand,Dehradun,Locality_388,Villa,3,1829,420.24,0.23,2018,Unfurnished,3,24,8,4,6,2,1,0,"Clubhouse, Garden, Gym, Pool",West,Broker,Ready_to_Move,4,0.125,0
Chhattisgarh,Bilaspur,Locality_220,Apartment,4,3347,230.61,0.07,2015,Furnished,10,22,11,9,5,3,1,0,"Playground, Garden, Clubhouse, Pool",South,Owner,Ready_to_Move,4,0.45454545454545453,1
Assam,Guwahati,Locality_406,Apartment,3,1166,235.26,0.2,2008,Furnished,1,8,18,2,3,3,1,0,"Clubhouse, Garden, Playground, Gym, Pool",West,Owner,Under_Construction,5,0.125,0
Uttar Pradesh,Lucknow,Locality_443,Villa,4,4725,29.73,0.01,2009,Furnished,10,30,17,10,5,2,1,1,"Clubhouse, Gym, Garden",North,Broker,Under_Construction,3,0.3333333333333333,1
Andhra Pradesh,Vishakhapatnam,Locality_152,Villa,3,4870,195.05,0.04,2017,Unfurnished,9,21,9,4,6,1,0,1,"Garden, Playground",North,Builder,Under_Construction,2,0.42857142857142855,0
Gujarat,Surat,Locality_68,Independent House,5,1953,59.51,0.03,1997,Furnished,1,20,29,10,5,1,0,0,Gym,South,Broker,Under_Construction,1,0.05,0
Telangana,Warangal,Locality_376,Independent House,5,1958,127.55,0.07,1992,Unfurnished,4,14,34,5,5,3,0,1,"Playground, Garden",South,Owner,Under_Construction,2,0.2857142857142857,0
Uttarakhand,Haridwar,Locality_120,Apartment,3,3818,169.12,0.04,2009,Unfurnished,6,14,17,1,6,2,1,0,"Playground, Pool, Gym",East,Owner,Ready_to_Move,3,0.42857142857142855,1
Madhya Pradesh,Indore,Locality_12,Apartment,5,2246,20.91,0.01,2007,Semi-furnished,4,17,19,4,5,3,0,1,Garden,South,Builder,Under_Construction,1,0.23529411764705882,0
Gujarat,Surat,Locality_261,Independent House,2,3402,468.12,0.14,1994,Furnished,4,27,32,9,4,1,1,1,Playground,South,Builder,Under_Construction,1,0.14814814814814814,0
Delhi,Dwarka,Locality_36,Independent House,5,3946,281.74,0.07,2023,Unfurnished,1,2,3,5,8,3,0,1,Gym,South,Owner,Ready_to_Move,1,0.5,0
Madhya Pradesh,Bhopal,Locality_303,Villa,4,1195,160.57,0.13,1993,Unfurnished,10,25,33,6,7,3,1,1,"Playground, Pool",West,Broker,Ready_to_Move,2,0.4,0
Maharashtra,Nagpur,Locality_332,Independent House,2,950,243.06,0.26,2020,Furnished,9,27,6,1,6,1,0,0,"Playground, Garden, Gym, Clubhouse, Pool",East,Broker,Under_Construction,5,0.3333333333333333,0
Chhattisgarh,Bilaspur,Locality_252,Villa,4,2788,342.77,0.12,2023,Furnished,19,26,3,7,1,1,1,1,Playground,North,Owner,Under_Construction,1,0.7307692307692307,0
Rajasthan,Jaipur,Locality_277,Villa,2,2092,58.84,0.03,2009,Unfurnished,8,14,17,10,7,1,1,0,"Gym, Garden, Playground",West,Broker,Under_Construction,3,0.5714285714285714,0
Haryana,Faridabad,Locality_171,Independent House,5,2645,412.35,0.16,2018,Furnished,1,3,8,6,2,2,1,0,"Playground, Clubhouse, Garden, Gym, Pool",West,Broker,Under_Construction,5,0.3333333333333333,0
West Bengal,Kolkata,Locality_199,Apartment,5,2330,103.19,0.04,2007,Furnished,4,9,19,1,6,3,0,1,"Gym, Garden, Clubhouse, Pool",West,Owner,Ready_to_Move,4,0.4444444444444444,1
Jharkhand,Ranchi,Locality_163,Apartment,1,4539,390.25,0.09,2019,Unfurnished,11,13,7,10,5,2,1,0,"Garden, Clubhouse, Playground",North,Builder,Under_Construction,3,0.8461538461538461,0
Jharkhand,Ranchi,Locality_328,Villa,5,4604,448.58,0.1,2005,Semi-furnished,23,23,21,4,7,3,0,1,"Clubhouse, Garden, Pool",East,Broker,Ready_to_Move,3,1.0,0
Karnataka,Mangalore,Locality_349,Apartment,2,4256,53.8,0.01,2020,Furnished,12,29,6,3,10,3,0,0,"Gym, Pool, Playground, Garden",West,Owner,Under_Construction,4,0.41379310344827586,1
Assam,Guwahati,Locality_314,Villa,1,2358,431.61,0.18,2015,Semi-furnished,16,21,11,7,5,1,0,1,Gym,South,Owner,Under_Construction,1,0.7619047619047619,0
Uttarakhand,Dehradun,Locality_97,Villa,2,1027,80.5,0.08,2018,Semi-furnished,7,26,8,9,6,2,1,0,"Gym, Clubhouse, Playground, Garden",South,Broker,Under_Construction,4,0.2692307692307692,1
Assam,Guwahati,Locality_267,Independent House,1,1758,428.67,0.24,1992,Semi-furnished,0,1,34,9,3,3,0,0,"Gym, Clubhouse, Garden, Pool",North,Broker,Under_Construction,4,0.0,0
Tamil Nadu,Chennai,Locality_228,Villa,4,2693,211.05,0.08,1999,Furnished,8,15,27,4,5,3,1,1,Pool,West,Owner,Ready_to_Move,1,0.5333333333333333,0
Jharkhand,Ranchi,Locality_326,Independent House,4,1876,474.4,0.25,1991,Semi-furnished,10,28,35,9,9,2,1,0,"Playground, Pool, Clubhouse, Garden, Gym",East,Builder,Under_Construction,5,0.35714285714285715,0
Kerala,Kochi,Locality_379,Villa,1,3647,434.73,0.12,2014,Unfurnished,3,11,12,7,2,1,1,1,"Garden, Playground, Clubhouse",South,Owner,Ready_to_Move,3,0.2727272727272727,0
Odisha,Bhubaneswar,Locality_493,Independent House,1,4161,154.26,0.04,2021,Unfurnished,15,27,5,2,10,3,1,1,"Clubhouse, Garden, Pool, Gym",South,Builder,Under_Construction,4,0.5555555555555556,1
Haryana,Gurgaon,Locality_161,Apartment,4,2256,217.31,0.1,2005,Unfurnished,16,26,21,10,4,3,0,0,"Gym, Playground",North,Builder,Ready_to_Move,2,0.6153846153846154,0
Rajasthan,Jodhpur,Locality_366,Villa,2,3249,366.65,0.11,2010,Furnished,20,26,16,6,7,2,1,1,"Gym, Garden",South,Owner,Ready_to_Move,2,0.7692307692307693,0
Rajasthan,Jodhpur,Locality_450,Villa,3,3696,498.03,0.13,2010,Unfurnished,9,27,16,9,8,2,0,0,Playground,East,Builder,Ready_to_Move,1,0.3333333333333333,0
Madhya Pradesh,Indore,Locality_417,Apartment,1,2129,96.15,0.05,2020,Unfurnished,1,28,6,5,10,1,1,0,"Playground, Garden, Gym",North,Broker,Ready_to_Move,3,0.03571428571428571,0
Andhra Pradesh,Vijayawada,Locality_460,Apartment,1,2691,182.04,0.07,2006,Semi-furnished,1,1,20,3,8,3,0,0,"Playground, Clubhouse, Gym",North,Broker,Under_Construction,3,1.0,1
Karnataka,Bangalore,Locality_63,Apartment,3,2465,304.6,0.12,2011,Unfurnished,3,13,15,3,10,1,0,0,Clubhouse,West,Owner,Under_Construction,1,0.23076923076923078,0
Bihar,Gaya,Locality_352,Independent House,1,3603,277.38,0.08,2010,Furnished,14,28,16,9,4,1,0,0,"Clubhouse, Garden, Gym, Pool, Playground",West,Owner,Under_Construction,5,0.5,0
Tamil Nadu,Chennai,Locality_76,Independent House,1,4422,369.34,0.08,2017,Unfurnished,22,27,9,1,8,1,0,0,"Garden, Pool",North,Owner,Ready_to_Move,2,0.8148148148148148,0
Karnataka,Mysore,Locality_267,Independent House,1,4165,18.47,0.0,1993,Unfurnished,16,22,33,1,9,3,1,1,"Gym, Playground, Pool, Garden",North,Broker,Ready_to_Move,4,0.7272727272727273,1
Uttarakhand,Haridwar,Locality_449,Independent House,4,4984,94.67,0.02,2003,Unfurnished,3,4,23,6,1,1,0,1,Pool,West,Builder,Ready_to_Move,1,0.75,0
Tamil Nadu,Coimbatore,Locality_65,Villa,1,1577,337.36,0.21,2008,Unfurnished,3,8,18,4,10,3,0,1,Pool,East,Broker,Under_Construction,1,0.375,0
West Bengal,Durgapur,Locality_411,Apartment,1,3085,432.64,0.14,2013,Unfurnished,13,25,13,10,5,1,0,0,"Gym, Clubhouse",West,Builder,Ready_to_Move,2,0.52,0
Delhi,Dwarka,Locality_422,Independent House,4,1453,241.36,0.17,1993,Unfurnished,8,20,33,7,8,1,1,0,"Garden, Pool",East,Broker,Under_Construction,2,0.4,0
Bihar,Patna,Locality_273,Apartment,2,4711,100.2,0.02,2000,Unfurnished,10,23,26,10,2,3,0,0,"Playground, Clubhouse, Garden",East,Broker,Under_Construction,3,0.43478260869565216,1
Uttarakhand,Dehradun,Locality_249,Apartment,5,4652,454.22,0.1,2006,Furnished,9,10,20,1,8,1,1,1,"Gym, Playground, Garden",East,Owner,Under_Construction,3,0.9,0
West Bengal,Kolkata,Locality_484,Villa,3,4091,402.16,0.1,2004,Semi-furnished,5,26,22,4,8,1,0,0,Pool,North,Broker,Ready_to_Move,1,0.19230769230769232,0
Bihar,Patna,Locality_475,Apartment,1,3701,178.67,0.05,2014,Semi-furnished,6,29,12,6,6,2,1,0,Clubhouse,North,Owner,Under_Construction,1,0.20689655172413793,0
Telangana,Hyderabad,Locality_212,Independent House,3,2533,273.31,0.11,2006,Semi-furnished,3,16,20,5,10,1,0,0,"Gym, Playground",North,Owner,Under_Construction,2,0.1875,0
Odisha,Cuttack,Locality_500,Villa,4,3382,431.97,0.13,2001,Unfurnished,1,6,25,10,10,2,0,0,"Playground, Pool, Gym, Clubhouse, Garden",East,Broker,Ready_to_Move,5,0.16666666666666666,0
Bihar,Gaya,Locality_440,Independent House,2,3441,268.84,0.08,1996,Furnished,13,14,30,2,1,1,1,1,"Clubhouse, Playground",East,Builder,Under_Construction,2,0.9285714285714286,0
Assam,Silchar,Locality_291,Independent House,5,2394,363.19,0.15,2020,Unfurnished,7,8,6,7,4,2,1,0,"Gym, Garden",South,Broker,Ready_to_Move,2,0.875,0
Chhattisgarh,Bilaspur,Locality_445,Villa,4,4868,87.24,0.02,2021,Semi-furnished,6,12,5,1,7,2,0,1,"Pool, Playground, Garden, Clubhouse",West,Broker,Ready_to_Move,4,0.5,1
Madhya Pradesh,Indore,Locality_273,Apartment,2,2299,436.26,0.19,2003,Semi-furnished,13,21,23,9,7,3,1,1,"Playground, Pool, Garden, Clubhouse, Gym",South,Builder,Under_Construction,5,0.6190476190476191,0
Gujarat,Ahmedabad,Locality_326,Apartment,4,3402,400.2,0.12,2007,Furnished,10,11,19,6,4,3,0,0,"Playground, Clubhouse, Garden, Gym, Pool",North,Owner,Under_Construction,5,0.9090909090909091,0
Uttar Pradesh,Lucknow,Locality_10,Apartment,5,1363,259.18,0.19,2010,Unfurnished,0,23,16,5,7,2,1,1,"Clubhouse, Pool, Gym",South,Builder,Ready_to_Move,3,0.0,0
Andhra Pradesh,Vishakhapatnam,Locality_99,Independent House,4,4932,369.63,0.07,2008,Semi-furnished,3,15,18,10,5,3,1,0,"Clubhouse, Garden, Gym, Pool",West,Broker,Ready_to_Move,4,0.2,1
Telangana,Hyderabad,Locality_67,Independent House,1,3185,244.96,0.08,1999,Unfurnished,5,24,27,8,5,1,0,0,"Garden, Playground, Pool, Gym, Clubhouse",East,Broker,Under_Construction,5,0.20833333333333334,0
West Bengal,Kolkata,Locality_163,Independent House,1,1774,75.33,0.04,1992,Semi-furnished,5,12,34,7,3,3,1,1,Playground,South,Owner,Under_Construction,1,0.4166666666666667,0
Bihar,Gaya,Locality_109,Independent House,3,2854,28.82,0.01,2001,Furnished,6,19,25,8,8,1,0,1,Pool,South,Broker,Ready_to_Move,1,0.3157894736842105,0
Assam,Silchar,Locality_139,Villa,2,3375,286.92,0.09,2009,Semi-furnished,15,15,17,4,3,1,0,1,"Pool, Playground",North,Broker,Ready_to_Move,2,1.0,0
Uttarakhand,Haridwar,Locality_377,Independent House,2,1836,273.85,0.15,2020,Unfurnished,21,30,6,9,9,2,0,1,"Gym, Garden, Clubhouse, Playground, Pool",West,Owner,Under_Construction,5,0.7,0
Chhattisgarh,Raipur,Locality_106,Independent House,5,2150,426.55,0.2,2010,Furnished,0,21,16,7,5,2,0,1,"Gym, Pool, Garden, Playground",West,Broker,Ready_to_Move,4,0.0,0
Chhattisgarh,Raipur,Locality_439,Independent House,5,3047,40.78,0.01,1992,Unfurnished,8,28,34,7,1,3,1,1,Gym,South,Builder,Ready_to_Move,1,0.2857142857142857,0
Chhattisgarh,Bilaspur,Locality_120,Independent House,5,3210,24.56,0.01,1995,Unfurnished,9,15,31,4,9,1,0,1,"Gym, Pool",South,Builder,Ready_to_Move,2,0.6,0
Rajasthan,Jaipur,Locality_366,Independent House,4,3168,392.48,0.12,1997,Furnished,24,29,29,8,1,3,1,0,Playground,East,Builder,Ready_to_Move,1,0.8275862068965517,0
Tamil Nadu,Chennai,Locality_92,Independent House,1,3441,52.52,0.02,2010,Furnished,2,16,16,8,6,2,0,1,Playground,West,Broker,Under_Construction,1,0.125,0
Delhi,New Delhi,Locality_264,Villa,1,1672,90.42,0.05,2000,Semi-furnished,2,3,26,5,2,2,1,1,"Playground, Gym, Pool, Clubhouse, Garden",South,Owner,Ready_to_Move,5,0.6666666666666666,1
Andhra Pradesh,Vishakhapatnam,Locality_412,Villa,3,2713,308.16,0.11,2007,Unfurnished,3,15,19,1,8,2,0,0,Pool,East,Builder,Ready_to_Move,1,0.2,0
Madhya Pradesh,Indore,Locality_28,Independent House,3,1695,461.96,0.27,2013,Furnished,25,26,13,8,7,3,1,1,"Garden, Gym, Pool",North,Owner,Ready_to_Move,3,0.9615384615384616,0
Uttarakhand,Dehradun,Locality_260,Apartment,5,4414,451.78,0.1,2009,Furnished,6,30,17,3,3,2,0,0,Clubhouse,East,Broker,Under_Construction,1,0.2,0
Madhya Pradesh,Bhopal,Locality_179,Independent House,5,2229,379.5,0.17,2014,Furnished,0,16,12,10,5,2,0,0,"Garden, Clubhouse, Gym, Playground",East,Broker,Under_Construction,4,0.0,0
Karnataka,Mysore,Locality_109,Villa,2,961,102.9,0.11,1999,Semi-furnished,5,8,27,7,6,3,0,1,"Gym, Garden, Clubhouse",East,Owner,Under_Construction,3,0.625,0
West Bengal,Durgapur,Locality_442,Villa,3,3079,179.63,0.06,2009,Unfurnished,3,27,17,10,2,1,1,0,"Gym, Pool, Playground",South,Builder,Under_Construction,3,0.1111111111111111,0
Telangana,Hyderabad,Locality_49,Apartment,2,4427,59.34,0.01,2018,Furnished,25,27,8,6,5,2,0,1,"Clubhouse, Playground, Garden",North,Broker,Under_Construction,3,0.9259259259259259,1
Andhra Pradesh,Vishakhapatnam,Locality_126,Independent House,5,643,158.8,0.25,2001,Furnished,8,13,25,10,1,1,1,0,Clubhouse,North,Owner,Under_Construction,1,0.6153846153846154,0
Jharkhand,Ranchi,Locality_85,Villa,1,2130,499.43,0.23,1997,Unfurnished,12,19,29,9,8,2,1,1,"Playground, Gym, Garden, Clubhouse",East,Broker,Ready_to_Move,4,0.631578947368421,0
Jharkhand,Jamshedpur,Locality_487,Apartment,3,656,191.16,0.29,2023,Semi-furnished,7,19,3,3,1,1,1,1,"Clubhouse, Garden, Gym",West,Builder,Ready_to_Move,3,0.3684210526315789,0
Delhi,New Delhi,Locality_147,Independent House,4,4641,101.76,0.02,2020,Unfurnished,5,28,6,8,3,2,0,1,"Pool, Garden, Clubhouse, Playground",East,Broker,Under_Construction,4,0.17857142857142858,1
Bihar,Gaya,Locality_174,Villa,4,1376,112.75,0.08,2013,Unfurnished,10,26,13,7,3,3,0,0,"Pool, Clubhouse, Gym, Playground, Garden",West,Builder,Under_Construction,5,0.38461538461538464,1
Jharkhand,Ranchi,Locality_389,Villa,3,1623,282.9,0.17,1998,Furnished,10,10,28,10,6,2,1,0,"Gym, Garden, Pool, Playground",North,Broker,Ready_to_Move,4,1.0,0
Delhi,New Delhi,Locality_30,Apartment,5,2326,305.2,0.13,2003,Unfurnished,27,28,23,9,8,1,1,0,"Clubhouse, Gym, Garden",East,Builder,Ready_to_Move,3,0.9642857142857143,0
Andhra Pradesh,Vishakhapatnam,Locality_91,Independent House,1,1226,318.5,0.26,2015,Furnished,14,29,11,10,7,2,1,1,"Clubhouse, Garden, Playground",South,Builder,Under_Construction,3,0.4827586206896552,0
Uttarakhand,Dehradun,Locality_81,Villa,3,552,63.12,0.11,2000,Unfurnished,14,15,26,5,4,2,0,1,"Pool, Garden",East,Broker,Under_Construction,2,0.9333333333333333,0
Kerala,Trivandrum,Locality_112,Independent House,2,1196,322.13,0.27,1991,Semi-furnished,1,28,35,3,3,3,0,1,"Pool, Clubhouse, Gym",North,Broker,Under_Construction,3,0.03571428571428571,0
